ID,"Are you an UG, PGT, PGR or Academic Staff?","Have you heard of the term ""Smart Building""?",Did you know before this form that the USB is a Smart Building?,How many days a week do you spend any time in the USB?,"When you're in the USB, where do you work?","If you don't spend time at the USB, where do you work on campus?",Is there any reason you don't choose to spend time in the USB?,Have you heard of the Urban Observatory?,"Do you believe Smart Building technology has a strong impact on Climate Change? 1 suggests it has no impact, whilst 5 suggests it has a strong impact.",Please give a reason for your rating.,"Do you have any concerns about your data being tracked through the use of Smart Building technology (e.g. rooms sensing for occupancy)? 1 for no concerns around data tracking, 5 for very concerned...","Do you think knowing statistics about a room, such as its temperature, or CO2 level is beneficial to you when choosing a space to work in? 1 for not beneficial, 5 for very beneficial.","Is Smart Building technology, that is being used to help increase energy efficiency, something you think is important? 1 for not important, 5 for very important.","There are developments in the research area that could result, in addition to using sensors around a building, using other personal technology to connect with a Smart Building network. Does the in…","If all data remained private but it made a positive impact on your household bills, by showing you, for example where rooms were too warm or too cold, would you implement Smart Building technology...","If relevant data was disclosed to energy companies but it made a positive impact on your household bills, by proving your home was energy efficient, would you implement Smart Building technology i...","How do you feel about occupancy sensors for rooms/areas used by one, or very few individuals?","How do you feel about occupancy sensors for rooms/areas used by large groups, such as the Flat Floor Teaching Space?",How do you feel about CO2 sensors for rooms/areas to detect the level of CO2 in a room?,"How do you feel about temperature sensors for rooms/areas to detect the temperature, and control the heating, of a room?",How do you feel about light sensors for rooms/areas to measure the brightness of a room?,How do you feel about humidity sensors for rooms/areas to measure water vapour levels in a room?,"If you were constructing a new building, would you consider implementing Smart Building technology?",Please explain your choice.,"If you were thinking about implementing Smart Building technology, into either a new building, or renovating an existing structure, would a program to give suggestions on what to include, based on...",Please explain your choice.2,"If an incident involving a Smart Building, such as a water leak that damaged infrastructure, what would you want/expect the building to do in this scenario to maintain security and safety within t...","Is there anything you think could be improved within Smart Building Technology? This could be new metrics to measure, or to help improve efficiency etc."
1,UG,Yes,Yes,5 days,"Flat Floor Teaching Space (3.005, 3.015, 3018 etc.);",I don't work on campus;,,Yes,4.00,"I believe they can help allow for more efficient usage of energy and heating systems, but can only go so far before more efficient methods of energy generation are required to meet climate targets.",3.00,2.00,5.00,3.00,5.00,4.00,2.00,5.00,5.00,5.00,5.00,4.00,Yes,They provide long-term cost benefits and allow for more knowledge on how the building is being used.,Yes,"The current technology of smart buildings is very complex, and its cost means that it is important that the most cost-effective methods are highlighted.",I would expect the building to fail-safe and have manual overrides for any system required for day-to-day use.,Greater communication of what the smart system is doing. How much of an effect does changing thermostats make? What happens if I open a window? etc.
2,UG,Yes,Yes,5 days,"Flat Floor Teaching Space (3.005, 3.015, 3018 etc.);Group Study Spaces (Large tables with 8-10 chairs);",,,Yes,4.00,Widespread adoption of smart building technology could have a strong impact on climate change due to the efficiency of the building such as only lighting and heating occupied rooms.,3.00,4.00,5.00,4.00,4.00,3.00,4.00,5.00,5.00,5.00,5.00,5.00,Yes,Increased efficiency would result in cheaper maintenance and upkeep whilst also helping to reduce the effects of climate change. Ideas such as smart buildings only using gas or electricity off peak times to reduce main grid load,Yes,This would help only include those sensors that are useful for those rooms and reduce eventual e-waste and keep building costs low.,"The smart building should if possible isolate the water supply to the room(s) where the leak occurs or if that is not possible, turn water off immediately and notify the maintenance crew and possibly notify building users of the lack of water.",Energy usage or perhaps data on sunlight amount in certain rooms?
3,UG,No,N/A,2 days,"Flat Floor Teaching Space (3.005, 3.015, 3018 etc.);Meeting Spaces (e.g. 3.029, with couches and small tables);Large Meeting Rooms (e.g. 3.032);Offices (e.g. EPiC space 2.038);",I don't work on campus;,I live far away so I do most work online,No,2.00,"While a good step in the right direction, in terms of the whole world I  doubt the USB will be impacting climate change very much",3.00,1.00,4.00,3.00,4.00,4.00,3.00,3.00,4.00,3.00,3.00,3.00,Yes,If it works just as well as can help safe the enviroment it is a win win,Yes,Yes as it will help me know what is needed faster,If the entire stucture of building is at fault then id expect the building to be closed while renovations are made. If it is just in a small area then I expect to be able to use the building but that area is off limits.,I cannot think of anything
4,UG,Yes,Yes,2 days,"Meeting Spaces (e.g. 3.029, with couches and small tables);Lecture Theatre;Group Study Spaces (Large tables with 8-10 chairs);Large Meeting Rooms (e.g. 3.032);4.005;",,not really anywhere to buy food in the helix area (beyond USB vending machines) after hours,Yes,4.00,"Some energy uses will be unaffected by smart buildings, but others such as heating empty rooms can be avoided by use of sensors etc",3.00,2.00,5.00,3.00,4.00,4.00,3.00,3.00,3.00,5.00,5.00,5.00,Yes,Technology should be used to help buildings adapt to conditions,Yes,"I wouldn't know where to start, so this would be useful. Then again i am not an architect, probably for good reason.","if the doors and windows have no power, unlock them all unless they are external doors (which should be mechanically unlockable). otherwise:

allow all doors to be locally unlocked in the direction of regular exit, to prevent people being trapped.
if there is no communication with the fire alarms, also force unlock all doors in the direction of nearest fire exit.
lock all doors in the entry direction to prevent someone causing infrastructure damage to break in. if they have power, doors should be unlockable via hard coded master access key card, or physical key etc.","I think occupancy data should not be published online in realtime. Because for example if someone wanted to commit a terrorist act, they would be able to specifically target areas of the building as the attack was happening."
5,UG,Yes,Yes,2 days,"Group Study Spaces (Large tables with 8-10 chairs);Meeting Spaces (e.g. 3.029, with couches and small tables);",I don't work on campus;,I do not live in Newcastle and just commute to university when I need to attend,Yes,2.00,I'm not sure how it would have an impact beyond just using electricity,2.00,2.00,4.00,4.00,4.00,2.00,2.00,2.00,2.00,5.00,4.00,3.00,Maybe,It would depend on what benefits it would provide vs the costs/maintenance/negative factors involved,Yes,It would likely reduce the amount of planning/decision making needed,"Where possible, ensure that existing security measures remain operational despite damage",Not sure
6,UG,Yes,Yes,2 days,"Flat Floor Teaching Space (3.005, 3.015, 3018 etc.);Lecture Theatre;",I don't work on campus;,Travel time,No,2.00,Don’t know how many different factors the smart building can control and how they mange them other then a handful,2.00,1.00,3.00,4.00,3.00,2.00,1.00,5.00,3.00,4.00,2.00,3.00,Maybe,Amount of time it would take to add these features as well as the costs for them would be the 2 biggest factors needed for me to decide,Yes,Gets rid of unnecessary function in some rooms while allowing me to decide if possible features that I didn’t consider,Immediately send warnings to relevant staff on where the leak can be spread to and then send notification to all that need the room to tell them of said problem and what isn’t functioning,Amount the rooms are used through out the day
7,Academic Staff,Yes,Yes,5 days,"Offices (e.g. EPiC space 2.038);Flat Floor Teaching Space (3.005, 3.015, 3018 etc.);Lecture Theatre;",I don't work on campus;,"I tend to dislike commuting so on days when I have online classes, prefer to teach them from home, likewise on days when I have no in-person classes or meetings, find I am just as productive, if not more so at home. ",Yes,3.00,"I don't really know - on the one hand, every little helps but on the other, one building in one city isn't probably going to make a huge difference. ",2.00,2.00,5.00,4.00,3.00,2.00,2.00,5.00,3.00,5.00,5.00,5.00,Maybe,"I wouldn't want the tracking of personal data. However, I like the idea of being able to indicate which rooms are too hot/cold for either helping someone choose a space to work or to adjust the temperature to fix the situation. I also like the idea of lights turning off automatically when nobody is there because it is a real waste having lights left on for hours in empty rooms. ",Yes,"Suggestions are always helpful, let's face it, if I don't agree with them I can always ignore them. I might learn something I didn't already know. ","The building should keep operating as normal providing it was safe to do so (like no water in the electrics) - but I would guess that would be the same for any building. Smart tech that says how the rooms are being used, etc. is a nice extra but not essential so the building should keep functioning without them. ","In the USB, I sometimes feel the lights turn off a little too quick. "
8,PGR,Yes,Yes,7 days,Offices (e.g. EPiC space 2.038);,I don't work on campus;,No,Yes,5.00,the least it can do lower energy consumpsion and different types of emissions,2.00,4.00,5.00,1.00,5.00,5.00,4.00,4.00,4.00,4.00,5.00,4.00,Yes,it is a better choice and gives more options to use the building compared to normal,Yes,it can remind me of things to do,send an alert,enhance the network connection between the devices and the building network
9,Academic Staff,Yes,Yes,5 days,All of these spaces;,,,Yes,4.00,"Materials used, electricity and water used, CO2 generated, waste generated etc. all have an impact on the environment and climate.",5.00,1.00,4.00,5.00,5.00,2.00,2.00,5.00,4.00,3.00,3.00,3.00,Maybe,I would have to see if the benefits were worth it in terms of intrusion and measuring everything.,Maybe,Do you mean a presentation or a computer program? I think I would consult with experts first and then maybe model scenarios using a program.,"I wouldn't expect the building to do anything. I would expect a system to alert the humans in the building if there was a security or safety issue posed by the leak. It would be good if systems automatically shut down to protect infrastructure if there was a problem, but humans come first.","I think we need to stop measuring things and ask the humans what they want in their environment more. Data is great but the knowledge generated from it should be useful to people in that environment - everyone, not just people with responsibilities in terms of maintenance or monitoring. Smart tech should be useful to all building users."
10,PGT,Yes,Yes,1 day,Group Study Spaces (Large tables with 8-10 chairs);,,"Voices carry so mch, I can hear a conversation at reception from the 3rd floor it's quite distracting.",Yes,3.00,Don't know enough about it to form an opinion ,1.00,2.00,5.00,2.00,4.00,4.00,3.00,5.00,3.00,3.00,4.00,3.00,Yes,It seems like a good idea to reduce bills and gather data on usage,Yes,A suggestion based on what I would specifically want to achieve would be very helpful to ensure I get the right data and results,Automatically react to this i.e. turning off water and alerting management to the issue ASAP,I don't have enough background to be able to comment
11,UG,Yes,No,3 days,"Group Study Spaces (Large tables with 8-10 chairs);Flat Floor Teaching Space (3.005, 3.015, 3018 etc.);Lecture Theatre;",Marjorie Robinson Library;,,Yes,2.00,"It measures, it doesn’t inhale CO2 or anything, it might encourage some people to walk or take a more efficient route but most people have no idea about it ",1.00,3.00,4.00,4.00,5.00,3.00,4.00,5.00,4.00,5.00,4.00,4.00,Yes,More energy efficient,Maybe,.,Usher people into unaffected areas or out of the building and don’t let other people back in,Online reports of how busy an area is 
12,UG,Yes,Yes,5 days,"Flat Floor Teaching Space (3.005, 3.015, 3018 etc.);Café;Lecture Theatre;",I don't work on campus;,I commute to uni so sometimes it’s more convenient to just work from home,Yes,2.00,"Temperature regulation probably means less energy is used, but I don’t think one building will have much of an impact on the wider world",2.00,3.00,5.00,4.00,4.00,4.00,3.00,3.00,4.00,2.00,3.00,3.00,Maybe,Would depend on cost and actual data showing benefits of smart buildings ,Yes,So you know what to actually include,Alert someone relevant,Temperature control in the USB doesn’t seem to work great
13,Academic Staff,Yes,Yes,5 days,"Offices (e.g. EPiC space 2.038);Flat Floor Teaching Space (3.005, 3.015, 3018 etc.);Café;Large Meeting Rooms (e.g. 3.032);Lecture Theatre;",I don't work on campus;,,Yes,3.00,"Smart Buildings can improve energy efficiency, but it's not clear how well this works in practice as a building user.",2.00,2.00,5.00,4.00,4.00,4.00,3.00,5.00,4.00,5.00,5.00,5.00,Yes,It defers choices on factors that can be altered once the building is in use.,Maybe,It might be useful but it should be clear who uses the program and when.,I don't know.,Make it clearer that buildings are smart to users (displays including history data etc.). 
14,UG,No,N/A,5 days,"Flat Floor Teaching Space (3.005, 3.015, 3018 etc.);Meeting Spaces (e.g. 3.029, with couches and small tables);Large Meeting Rooms (e.g. 3.032);",Marjorie Robinson Library;Philip Robinson Library;Language resource centre;,I find the library a more cosy space with the books and more enclosed space,Yes,3.00,"By motoring information, it gives more opportunity to work out what to change, but doesn't necessarily directly impact climate change.",2.00,2.00,4.00,4.00,4.00,4.00,3.00,5.00,5.00,5.00,5.00,5.00,Yes, ,Yes, , , 
15,UG,Yes,Yes,2 days,"Lecture Theatre;Flat Floor Teaching Space (3.005, 3.015, 3018 etc.);",Philip Robinson Library;,I work primarily at night - the USB does not have 24/7 opening hours.,Yes,2.00,"Doesn't have to be a building to do this, and while it gets data for one city, it won't fix the problem. There's a wealth of evidence for climate change being a threat, doesn't mean politicians and corporations will make changes.",3.00,2.00,4.00,4.00,1.00,3.00,1.00,1.00,3.00,3.00,3.00,3.00,Maybe,"Seems like a lot of vapid features (eg light level), only benefit would be energy efficiency ",Yes,Would help the user know if they are getting cheaper energy bills from it or not,Try to contain the security breach? Alert someone?,Tell people what it actually does rather than using the buzzword 'Smart'
16,UG,Yes,Yes,3 days,"Flat Floor Teaching Space (3.005, 3.015, 3018 etc.);Meeting Spaces (e.g. 3.029, with couches and small tables);Group Study Spaces (Large tables with 8-10 chairs);Lecture Theatre;",Philip Robinson Library;,I worked at the library more during the winter period where we didn't have the extended USB opening times ,No,4.00,"If we can do stuff like turning off lights/heating when people aren't in rooms that will save some energy - but I'm not sure I'd call this a ""strong impact"", it feels small in the grand scheme of things ",1.00,2.00,4.00,3.00,5.00,4.00,4.00,4.00,3.00,5.00,4.00,3.00,Yes,It will help to save energy and provide good conditions for people,Yes,"While I am enthusiastic about smart buildings, I do not have prior experience so a guide would help make the right choices",Alert the maintenance staff of the issue.  Possibly issue warnings to other people in the building too if the fault could be dangerous.,I can't think of anything 
17,PGT,Yes,No,5 days,"Flat Floor Teaching Space (3.005, 3.015, 3018 etc.);Group Study Spaces (Large tables with 8-10 chairs);",,,Yes,5.00,Saving energy ,2.00,3.00,5.00,4.00,5.00,5.00,5.00,4.00,5.00,5.00,5.00,5.00,Yes,For energy efficiency ,Yes,Would need help to make an effective smart house,Dk,Dk
18,UG,Yes,Yes,2 days,Offices (e.g. EPiC space 2.038);Lecture Theatre;,Philip Robinson Library;,"Too far away, not enough study spaces, full of people who don't shower",Yes,2.00,"Ideally we'd be repurposing existing buildings (concrete setting emits so much CO2). And as far as I can tell, they're just buildings with fancy thermostats and windows with servos that break",4.00,2.00,3.00,4.00,3.00,3.00,1.00,3.00,3.00,3.00,3.00,4.00,Maybe,"Depends what solution I planning on solving. Currently with my own flat, I have no issue keeping an eye on temperatures and humidity manually ",Maybe,"What kind of program. A software tool, or a program of lectures etc",I would expect the system to have a failsafe - so to turn off and warn of damage (something like RCDs in electric fuseboards),Reliability and price. Smart thermostats etc are just far too expensive for no real gain
19,UG,Yes,Yes,5 days,"Flat Floor Teaching Space (3.005, 3.015, 3018 etc.);",Philip Robinson Library;,,Yes,5.00,"Using IoT technology, we can monitor and regulate the environmental impact that buildings have.",3.00,3.00,5.00,5.00,4.00,2.00,3.00,1.00,5.00,5.00,5.00,5.00,Yes,yes,Yes,It would be helpful ,I dont know,I dont know
20,UG,Yes,Yes,5 days,Games lab (4.015);,,2 hour commute from Durham,Yes,5.00,"Understanding is always the first step to solving a problem. Having experience working with the Urbain Observatory API I know that a lot of very relevant data is being recorded, and can be used to influence decisions in making improvements.",2.00,3.00,5.00,2.00,4.00,3.00,5.00,5.00,5.00,5.00,5.00,5.00,Yes,I like to do what I can to avert climate change. This seems like it would help.,Yes,"I am not an expert on smart technology, so it would be nice to hear expert opinions on the matter so I can make informed decisions.","Following fire safety rules, there should always be an accessible path to exit a building. A smart building should be able to unlock doors as necessary to ensure there is always an exit route available to occupants, in the event of an emergency.","Something along the lines of a user friendly terminal for people to see statistics related to a given room/cluster, i.e. which rooms are full/available, what the temperature/humidity currently is, etc..
This could also involve some form of informative dialog to teach people more about smart buildings and why they should be interested in them."
21,UG,Yes,Yes,4 days,"Group Study Spaces (Large tables with 8-10 chairs);Flat Floor Teaching Space (3.005, 3.015, 3018 etc.);",Marjorie Robinson Library;I don't work on campus;,It’s not near the Green metro line so it’s a little further to walk,Yes,2.00,There hasn’t been a change in behaviour after collecting data,5.00,5.00,5.00,4.00,5.00,2.00,1.00,4.00,5.00,5.00,5.00,5.00,Yes,It seems like it has the potential to make beneficial impacts on the environment and utilitiss,Yes,Yes,"Sounds familiar…I wouldn’t expect it to lock everyone out, but fire doors closing etc would be anticipated. Maybe it could notify key holders or shut off the water supply to that area. ",privacy is a big concern and I believe needs to be improved. 
22,Academic Staff,Yes,Yes,3 days,Offices (e.g. EPiC space 2.038);,I don't work on campus;,Boring,No,2.00,Collecting data in itself is not useful; the value arises from actions. I'm not convinced these actions justify the expense over using old-fashioned methods with a bit of common sense (e.g. manually turning lights off in an empty room). There are also major security and privacy concerns with ubiquitous sensing.,5.00,2.00,2.00,5.00,1.00,2.00,1.00,1.00,3.00,2.00,1.00,2.00,No,"See reasons given earlier (security, privacy, expense, value).",No,See above - I am naturally against ubiquitous sensing in general.,Report to Estates.,Security and privacy.
23,PGT,Yes,Yes,1 day,Café;Classrooms (4.005) and 2nd floor study area (not group study spaces);,,,No,4.00,"I believe it has the ability to, when used and configured correctly and appropriate for the space. For example, heating the whole of the open spaces on a floor of USB because one person has triggered an occupancy sensor is not ideal.",1.00,3.00,4.00,2.00,4.00,3.00,4.00,4.00,5.00,5.00,5.00,4.00,Yes,"This should be a fundamental aspect of all new buildings. Sustainability requires us to work smarter, not harder, to ensure that efficiency is optimised and future supplies can meet future demands.",Maybe,"It would depend on how tailored the suggestions were, and how current they were kept.","Alert relevant staff, and restrict access into, but not out of the area to ensure safety. Depending on the situation and implications of the data the sensors provide, the building management system could then take further action. For example, if a fire was sensed through multiple sensors confirming risk, the system would sound the alarm, close windows, power down electricals, and restrict access.","Great care needs to be taken to ensure data security and system security, and that data analysed by automation is correctly analysed and acted upon."
24,PGT,Yes,Yes,1 day,"Group Study Spaces (Large tables with 8-10 chairs);Flat Floor Teaching Space (3.005, 3.015, 3018 etc.);",I don't work on campus;,,No,4.00,"The technology itself will only have an impact if the data being collected is acted upon
Even then, the adoption of Smart Building tech will need to be much more widely adopted to have a strong impact",1.00,2.00,5.00,4.00,5.00,4.00,5.00,5.00,5.00,5.00,5.00,5.00,Yes,It would improve the efficiency of the building and reduce energy bills,Yes,"Its not something I know a lot about, so suggestions would be welcome","Some level of automation - whether that is isolating any services that could cause further risk e.g. electricity, and notifying building management teams of the nature of the incident and required actions",Some form of legislation for all new buildings over a certain size to have smart building technology
25,UG,Yes,No,5 days,"Flat Floor Teaching Space (3.005, 3.015, 3018 etc.);Lecture Theatre;Group Study Spaces (Large tables with 8-10 chairs);",I don't work on campus;,15 min walk,Yes,2.00,Climate change is too widespread of an issue that a singular building can solve it,4.00,2.00,4.00,5.00,3.00,1.00,2.00,3.00,5.00,4.00,4.00,4.00,Maybe,"It seems a bit intrusive, but not to a too great degree",Yes,Could have expert opinion fed into it,"Immediately alert the relevant parties as to what has happened, thus allowing a quick response. In direr situations, having a fire alarm would be good as well.",N/A
